Taxa, Bantu_chrY_reduced.fasta, STL624_CMOS.tnt, BantuBantoid_Culture_MX.nexus
Gekkota_Phyllodactylidae_Thecadactylus_solimoensis, -, +, -
B11aMpongwe, +, -, -
Iguania_Leiolepididae_Leiolepis_belliana, -, +, -
Amphisbaenia_Trogonophiidae_Trogonophis_wiegmanni, -, +, -
Gekkota_Sphaerodactylidae_Pseudogonatodes_guianensis, -, +, -
Anguimorpha_Anguidae_Barisia_imbricata, -, +, -
J23Zinza, +, -, -
Anguimorpha_Anguidae_Elgaria_panamintina, -, +, -
Scincomorpha_Scincidae_Janetaescincus_braueri, -, +, -
Gekkota_Diplodactylidae_Diplodactylus_conspicillatus, -, +, -
Serpentes_Alethinophidia_Elapidae_Micrurus_fulvius, -, +, -
Scincomorpha_Scincidae_Acontias_lineatus, -, +, -
Iguania_Agamidae_Aphaniotis_fusca, -, +, -
Amphisbaenia_Bipedidae_Bipes_tridactylus, -, +, -
Serpentes_Alethinophidia_Cylindrophiidae_Cylindrophis_ruffus, -, +, -
Scincomorpha_Lacertidae_Adolfus_jacksoni, -, +, -
Iguania_Polychrotidae_Anolis_chrysolepis, -, +, -
P212Yao, +, -, -
Scincomorpha_Gerrhosauridae_Tracheloptychus_petersi, -, +, -
Iguania_Agamidae_Ctenophorus_decresii, -, +, -
Scincomorpha_Teiidae_Aspidoscelis_tigris, -, +, -
Serpentes_Alethinophidia_Viperidae_Vipera_aspis, -, +, -
S41Xhosa, +, -, -
Scincomorpha_Scincidae_Trachylepis_spilogaster, -, +, -
Scincomorpha_Gymnophthalmidae_Bachia_flavescens, -, +, -
Gekkota_Eublepharidae_Coleonyx_mitratus, -, +, -
Iguania_Agamidae_Rankinia_diemensis, -, +, -
Iguania_Tropiduridae_Microlophus_atacamensis, -, +, -
Iguania_Agamidae_Laudakia_nupta, -, +, -
Anguimorpha_Anguidae_Elgaria_multicarinata, -, +, -
Scincomorpha_Scincidae_Proscelotes_eggeli, -, +, -
Iguania_Corytophanidae_Corytophanes_cristatus, -, +, -
C40DDokoDoko, +, -, -
Iguania_Opluridae_Oplurus_grandidieri, -, +, -
Iguania_Polychrotidae_Anolis_vermiculatus, -, +, -
Amphisbaenia_Cadeidae_Cadea_blanoides, -, +, -
Serpentes_Alethinophidia_Lamprophiidae_Malpolon_monspessulanus, -, +, -
Gekkota_Phyllodactylidae_Thecadactylus_rapicauda, -, +, -
Gekkota_Gekkonidae_Cyrtodactylus_novaeguineae, -, +, -
Outgroup_Crocodylia_Crocodylus_porosus, -, +, -
Scincomorpha_Gerrhosauridae_Gerrhosaurus_nigrolineatus, -, +, -
Anguimorpha_Anguidae_Gerrhonotus_infernalis, -, +, -
G12Kaguru, +, -, -
Amphisbaenia_Amphisbaenidae_Dalophia_longicauda, -, +, -
S42Zulu, +, -, -
Anguimorpha_Anguidae_Elgaria_coerulea, -, +, -
Gekkota_Gekkonidae_Hemidactylus_greeffii, -, +, -
Iguania_Phrynosomatidae_Sceloporus_scalaris, -, +, -
G31Zigula, +, -, -
S44Ndebele, +, -, -
Gekkota_Sphaerodactylidae_Quedenfeldtia_moerens, -, +, -
H12b1Yombe, +, -, -
Scincomorpha_Teiidae_Ameiva_ameiva, -, +, -
Gekkota_Gekkonidae_Hemidactylus_haitianus, -, +, -
Gekkota_Diplodactylidae_Lucasium_damaeum, -, +, -
Iguania_Agamidae_Moloch_horridus, -, +, -
Anguimorpha_Anguidae_Coloptychon_rhombifer, -, +, -
Gekkota_Gekkonidae_Tropiocolotes_tripolitanus, -, +, -
Anguimorpha_Varanidae_Varanus_dumerilii, -, +, -
Iguania_Chamaeleonidae_Kinyongia_fischeri, -, +, -
Gekkota_Sphaerodactylidae_Sphaerodactylus_townsendi, -, +, -
Scincomorpha_Gymnophthalmidae_Pholidobolus_macbrydei, -, +, -
Iguania_Agamidae_Hydrosaurus_pustulatus, -, +, -
Scincomorpha_Gymnophthalmidae_Cercosaura_parkeri, -, +, -
Gekkota_Sphaerodactylidae_Gonatodes_ocellatus, -, +, -
Gekkota_Sphaerodactylidae_Sphaerodactylus_elegans, -, +, -
Amphisbaenia_Trogonophiidae_Diplometopon_zarudnyi, -, +, -
Scincomorpha_Scincidae_Tribolonotus_gracilis, -, +, -
D372Kumu, +, -, -
Gekkota_Carphodactylidae_Carphodactylus_laevis, -, +, -
Scincomorpha_Scincidae_Plestiodon_anthracinus, -, +, -
Amphisbaenia_Amphisbaenidae_Amphisbaena_fuliginosa, -, +, -
Scincomorpha_Scincidae_Typhlacontias_brevipes, -, +, -
Iguania_Agamidae_Tympanocryptis_tetraporophora, -, +, -
Serpentes_Alethinophidia_Tropidophiidae_Trachyboa_boulengeri, -, +, -
Serpentes_Alethinophidia_Colubridae_Imantodes_cenchoa, -, +, -
Scincomorpha_Gymnophthalmidae_Cercosaura_ocellata, -, +, -
H16hSikongo, +, -, -
Scincomorpha_Scincidae_Prasinohaema_prehensicauda, -, +, -
Serpentes_Alethinophidia_Boidae_Eunectes_murinus, -, +, -
Iguania_Crotaphytidae_Crotaphytus_collaris, -, +, -
Scincomorpha_Scincidae_Scelotes_gronovii, -, +, -
Gekkota_Phyllodactylidae_Haemodracon_riebeckii, -, +, -
Scincomorpha_Teiidae_Tupinambis_teguixin, -, +, -
Anguimorpha_Anguidae_Pseudopus_apodus, -, +, -
Iguania_Corytophanidae_Laemanctus_longipes, -, +, -
Gekkota_Pygopodidae_Lialis_jicari, -, +, -
Gekkota_Gekkonidae_Hemidactylus_triedrus, -, +, -
Gekkota_Phyllodactylidae_Homonota_darwinii, -, +, -
Scincomorpha_Scincidae_Marisora_brachypoda, -, +, -
S10Shona, +, -, -
Scincomorpha_Lacertidae_Ophisops_elegans, -, +, -
Scincomorpha_Scincidae_Plestiodon_elegans, -, +, -
Serpentes_Alethinophidia_Colubridae_Pseudoxenodon_macrops, -, +, -
Scincomorpha_Gymnophthalmidae_Ecpleopus_gaudichaudii, -, +, -
Gekkota_Sphaerodactylidae_Gonatodes_vittatus, -, +, -
Scincomorpha_Scincidae_Scincella_lateralis, -, +, -
E55Kamba, +, -, -
Gekkota_Sphaerodactylidae_Sphaerodactylus_macrolepis, -, +, -
Gekkota_Phyllodactylidae_Tarentola_angustimentalis, -, +, -
Iguania_Chamaeleonidae_Brookesia_decaryi, -, +, -
Scincomorpha_Lacertidae_Psammodromus_algirus, -, +, -
Iguania_Chamaeleonidae_Furcifer_lateralis, -, +, -
Scincomorpha_Gymnophthalmidae_Potamites_ecpleopus, -, +, -
Scincomorpha_Scincidae_Eugongylus_rufescens, -, +, -
N42Kunda, +, -, -
Iguania_Liolaemidae_Liolaemus_monticola, -, +, -
C711Tetela, +, -, -
Scincomorpha_Cordylidae_Smaug_warreni, -, +, -
Gekkota_Phyllodactylidae_Ptyodactylus_guttatus, -, +, -
G43cHadimu, +, -, -
Scincomorpha_Xantusiidae_Xantusia_vigilis, -, +, -
Iguania_Phrynosomatidae_Uta_stansburiana, -, +, -
Dibamia_Dibamidae_Anelytropsis_papillosus, -, +, -
Anguimorpha_Varanidae_Varanus_exanthematicus, -, +, -
Iguania_Agamidae_Pseudotrapelus_sinaitus, -, +, -
C34Sakata, +, -, -
Scincomorpha_Lacertidae_Podarcis_hispanicus, -, +, -
Iguania_Iguanidae_Ctenosaura_acanthura, -, +, -
Gekkota_Sphaerodactylidae_Teratoscincus_przewalskii, -, +, -
Scincomorpha_Scincidae_Voeltzkowia_fierinensis, -, +, -
Gekkota_Pygopodidae_Pygopus_nigriceps, -, +, -
Scincomorpha_Scincidae_Scelotes_kasneri, -, +, -
Scincomorpha_Cordylidae_Karusasaurus_polyzonus, -, +, -
Iguania_Liolaemidae_Ctenoblepharys_adspersa, -, +, -
Scincomorpha_Cordylidae_Namazonurus_namaquensis, -, +, -
Gekkota_Phyllodactylidae_Tarentola_gigas, -, +, -
J13Hima, +, -, -
Scincomorpha_Gymnophthalmidae_Pholidobolus_sp, -, +, -
